symbol,timeframe,num_bars,num_zones,base_first_taps,base_all_taps,swept_zones,swept_share,a_first_taps,a_all_taps,a_first_tap_change,a_all_tap_change,a_removed_taps,a_added_taps,b_diff_taps,b_diff_share,b_multi_taps,b_diff_share_of_multi,b_first_taps,b_all_taps,b_first_tap_change,b_all_tap_change,b_removed_taps,b_added_taps,c_first_taps,c_all_taps,c_first_tap_change,c_all_tap_change,c_removed_taps,c_added_taps
BNB/USDT:USDT,1h,51264,1415,1372,2706,1324,0.9356890459363958,1371.0,2671.0,-0.0007288629737609329,-0.012934220251293422,190.0,155.0,22,0.008130081300813009,482,0.04564315352697095,1372,2706,0.0,0.0,0,0,1372,2667,0.0,-0.014412416851441241,39,0
BNB/USDT:USDT,2h,25632,710,675,1307,648,0.9126760563380282,675.0,1298.0,0.0,-0.006885998469778117,70.0,61.0,4,0.00306044376434583,181,0.022099447513812154,675,1307,0.0,0.0,0,0,675,1292,0.0,-0.011476664116296864,15,0
BNB/USDT:USDT,4h,12816,365,344,633,329,0.9013698630136986,344.0,641.0,0.0,0.01263823064770932,35.0,43.0,2,0.00315955766192733,98,0.02040816326530612,344,633,0.0,0.0,0,0,344,626,0.0,-0.011058451816745656,7,0
XRP/USDT:USDT,15m,205056,5734,5657,11412,5601,0.9768050226717824,,,,,,,8,0.0007010164738871364,2040,0.00392156862745098,5657,11412,0.0,0.0,0,0,5657,11260,0.0,-0.01331931300385559,152,0
XRP/USDT:USDT,1h,51264,1445,1411,2825,1372,0.9494809688581315,1411.0,2818.0,0.0,-0.00247787610619469,266.0,259.0,1,0.00035398230088495576,552,0.0018115942028985507,1411,2825,0.0,0.0,0,0,1411,2777,0.0,-0.016991150442477877,48,0
XRP/USDT:USDT,2h,25632,680,658,1369,640,0.9411764705882353,658.0,1392.0,0.0,0.016800584368151936,124.0,147.0,2,0.0014609203798392988,303,0.006600660066006601,658,1369,0.0,0.0,0,0,658,1349,0.0,-0.014609203798392988,20,0
XRP/USDT:USDT,4h,12816,394,376,715,360,0.9137055837563451,376.0,717.0,0.0,0.002797202797202797,76.0,78.0,0,0.0,146,0.0,376,715,0.0,0.0,0,0,376,706,0.0,-0.012587412587412588,9,0
TRX/USDT:USDT,15m,205056,5658,5541,10382,5433,0.9602332979851538,,,,,,,11,0.0010595261028703525,1633,0.006736068585425597,5541,10382,0.0,0.0,0,0,5541,10238,0.0,-0.01387015989212098,144,0
TRX/USDT:USDT,1h,51264,1386,1329,2512,1276,0.9206349206349206,1329.0,2483.0,0.0,-0.011544585987261146,166.0,137.0,24,0.009554140127388535,428,0.056074766355140186,1329,2511,0.0,-0.0003980891719745223,1,0,1329,2476,0.0,-0.014331210191082803,36,0
TRX/USDT:USDT,2h,25632,709,665,1280,628,0.8857545839210155,665.0,1274.0,0.0,-0.0046875,81.0,75.0,10,0.0078125,202,0.04950495049504951,665,1279,0.0,-0.00078125,1,0,665,1264,0.0,-0.0125,16,0
TRX/USDT:USDT,4h,12816,375,338,621,311,0.8293333333333334,338.0,615.0,0.0,-0.00966183574879227,58.0,52.0,0,0.0,93,0.0,338,621,0.0,0.0,0,0,338,613,0.0,-0.01288244766505636,8,0
DOGE/USDT:USDT,15m,205056,5780,5687,11568,5598,0.9685121107266436,,,,,,,14,0.0012102351313969572,2139,0.0065451145395044414,5687,11568,0.0,0.0,0,0,5687,11376,0.0,-0.016597510373443983,192,0
DOGE/USDT:USDT,1h,51264,1421,1377,2785,1320,0.9289232934553132,1377.0,2733.0,0.0,-0.01867145421903052,230.0,178.0,6,0.0021543985637342907,512,0.01171875,1377,2785,0.0,0.0,0,0,1377,2748,0.0,-0.013285457809694794,37,0
DOGE/USDT:USDT,2h,25632,683,651,1335,612,0.8960468521229868,651.0,1328.0,0.0,-0.0052434456928838954,99.0,92.0,4,0.00299625468164794,245,0.0163265306122449,651,1335,0.0,0.0,0,0,651,1323,0.0,-0.008988764044943821,12,0
DOGE/USDT:USDT,4h,12816,359,335,705,311,0.8662952646239555,335.0,688.0,0.0,-0.024113475177304965,59.0,42.0,0,0.0,140,0.0,335,705,0.0,0.0,0,0,335,690,0.0,-0.02127659574468085,15,0
LINK/USDT:USDT,15m,205056,5905,5838,11537,5773,0.9776460626587637,,,,,,,14,0.0012134870416919477,2185,0.006407322654462242,5837,11536,-0.00017129153819801302,-8.667764583513912e-05,1,0,5838,11361,0.0,-0.015255265666984485,176,0
LINK/USDT:USDT,1h,51264,1453,1420,2722,1390,0.956641431520991,1420.0,2672.0,0.0,-0.018368846436443792,190.0,140.0,0,0.0,428,0.0,1420,2722,0.0,0.0,0,0,1420,2685,0.0,-0.013592946362968405,37,0
LINK/USDT:USDT,2h,25632,705,681,1356,662,0.9390070921985816,681.0,1315.0,0.0,-0.03023598820058997,118.0,77.0,6,0.004424778761061947,226,0.02654867256637168,681,1356,0.0,0.0,0,0,681,1336,0.0,-0.014749262536873156,20,0
LINK/USDT:USDT,4h,12816,373,351,669,342,0.9168900804289544,351.0,655.0,0.0,-0.02092675635276532,63.0,49.0,0,0.0,102,0.0,351,669,0.0,0.0,0,0,351,657,0.0,-0.017937219730941704,12,0
LTC/USDT:USDT,15m,205056,5832,5772,11669,5726,0.9818244170096022,,,,,,,3,0.00025709143885508615,2263,0.0013256738842244808,5772,11669,0.0,0.0,0,0,5772,11477,0.0,-0.016453852086725514,192,0
LTC/USDT:USDT,1h,51264,1438,1406,2876,1376,0.9568845618915159,1406.0,2854.0,0.0,-0.0076495132127955496,225.0,203.0,0,0.0,529,0.0,1406,2876,0.0,0.0,0,0,1406,2830,0.0,-0.015994436717663423,46,0
LTC/USDT:USDT,2h,25632,710,688,1409,660,0.9295774647887324,688.0,1401.0,0.0,-0.0056777856635912,110.0,102.0,6,0.0042583392476933995,212,0.02830188679245283,688,1409,0.0,0.0,0,0,688,1387,0.0,-0.015613910574875798,22,0
LTC/USDT:USDT,4h,12816,356,339,665,331,0.9297752808988764,339.0,652.0,0.0,-0.019548872180451128,30.0,17.0,0,0.0,89,0.0,339,665,0.0,0.0,0,0,339,657,0.0,-0.012030075187969926,8,0
ADA/USDT:USDT,15m,205056,5854,5759,11605,5683,0.9707892039631022,,,,,,,16,0.0013787160706591986,2288,0.006993006993006993,5759,11605,0.0,0.0,0,0,5759,11393,0.0,-0.01826798793623438,212,0
ADA/USDT:USDT,1h,51264,1428,1376,2792,1344,0.9411764705882353,1376.0,2768.0,0.0,-0.008595988538681949,199.0,175.0,0,0.0,538,0.0,1376,2792,0.0,0.0,0,0,1376,2755,0.0,-0.01325214899713467,37,0
ADA/USDT:USDT,2h,25632,714,685,1308,661,0.9257703081232493,685.0,1276.0,0.0,-0.024464831804281346,80.0,48.0,0,0.0,237,0.0,685,1308,0.0,0.0,0,0,685,1292,0.0,-0.012232415902140673,16,0
ADA/USDT:USDT,4h,12816,365,345,660,327,0.8958904109589041,345.0,640.0,0.0,-0.030303030303030304,32.0,12.0,0,0.0,124,0.0,345,660,0.0,0.0,0,0,345,650,0.0,-0.015151515151515152,10,0
DOT/USDT:USDT,15m,205056,5752,5660,11492,5561,0.9667941585535466,,,,,,,35,0.0030455969369996517,2127,0.016455101081335213,5660,11492,0.0,0.0,0,0,5660,11326,0.0,-0.014444831186912635,166,0
DOT/USDT:USDT,1h,51264,1425,1372,2629,1330,0.9333333333333333,1372.0,2610.0,0.0,-0.0072270825408900724,196.0,177.0,1,0.0003803727653100038,457,0.002188183807439825,1372,2629,0.0,0.0,0,0,1372,2597,0.0,-0.012171928489920122,32,0
DOT/USDT:USDT,2h,25632,716,679,1293,640,0.8938547486033519,679.0,1287.0,0.0,-0.004640371229698376,89.0,83.0,5,0.0038669760247486465,217,0.02304147465437788,679,1293,0.0,0.0,0,0,679,1275,0.0,-0.013921113689095127,18,0
DOT/USDT:USDT,4h,12816,377,352,676,322,0.8541114058355438,352.0,661.0,0.0,-0.022189349112426034,36.0,21.0,1,0.0014792899408284023,102,0.00980392156862745,352,676,0.0,0.0,0,0,352,664,0.0,-0.01775147928994083,12,0
BCH/USDT:USDT,15m,205056,5918,5850,11427,5789,0.978202095302467,,,,,,,6,0.0005250721974271463,2161,0.002776492364645997,5850,11426,0.0,-8.751203290452437e-05,1,0,5850,11256,0.0,-0.014964557626673668,171,0
BCH/USDT:USDT,1h,51264,1471,1443,2914,1397,0.9496940856560163,1443.0,2894.0,0.0,-0.0068634179821551134,206.0,186.0,7,0.0024021962937542897,587,0.01192504258943782,1443,2914,0.0,0.0,0,0,1443,2864,0.0,-0.017158544955387784,50,0
BCH/USDT:USDT,2h,25632,710,689,1362,663,0.9338028169014084,689.0,1362.0,0.0,0.0,84.0,84.0,0,0.0,240,0.0,689,1362,0.0,0.0,0,0,689,1344,0.0,-0.013215859030837005,18,0
BCH/USDT:USDT,4h,12816,380,365,739,342,0.9,365.0,728.0,0.0,-0.014884979702300407,56.0,45.0,0,0.0,149,0.0,365,739,0.0,0.0,0,0,365,728,0.0,-0.014884979702300407,11,0
